,Date/Time,Effective Drop Date,Reason,Drop Type,user_ID,chapter_ID
160,21 May 20 02:05:22,20/05/2020,Not Enough Referrals,Resigned,2874.0,20
161,20 May 20 20:50:51,01/05/2020,Other Reason (see notes),Resigned,1227.0,16
162,20 May 20 20:49:01,13/05/2020,Other Reason (see notes),Resigned,2331.0,16
163,20 May 20 19:12:44,01/05/2020,Terminated by Chapter - Attendance,Resigned,97.0,23
164,19 May 20 23:05:57,19/05/2020,"Company related (e.g. Changed Jobs, Left Company, Lost Employee)",Resigned,2297.0,14
165,19 May 20 17:39:10,19/05/2020,"Company related (e.g. Changed Jobs, Left Company, Lost Employee)",Resigned,33.0,5
166,13 May 20 16:42:53,13/05/2020,Terminated by Chapter - Attendance,Terminated,1783.0,14
167,12 May 20 22:04:27,12/05/2020,Affordability of Costs,Resigned,354.0,5
168,7 May 20 17:08:40,29/04/2020,Changed Job,Resigned,30.0,20
169,5 May 20 23:51:06,30/04/2020,"Company related (e.g. Changed Jobs, Left Company, Lost Employee)",Resigned,1072.0,14
170,5 May 20 22:19:47,01/04/2020,*Economic Distress,Resigned,1473.0,14
171,5 May 20 21:23:59,05/05/2020,No Reason Entered,Resigned,1569.0,31
172,5 May 20 16:17:56,05/05/2020,Other Reason (see notes),Resigned,2934.0,17
173,3 May 20 20:33:58,03/05/2020,Member Transferred BNI Chapters,Resigned,2793.0,16
174,30 April 20 08:06:37,01/03/2020,,System,228.0,18
175,28 April 20 18:49:50,28/04/2020,Other Reason (see notes),Resigned,1104.0,28
176,22 April 20 21:04:56,22/04/2020,Did Not Renew - No reason Given,Resigned,1491.0,17
177,16 April 20 19:12:09,03/03/2020,*Economic Distress,Resigned,657.0,7
178,16 April 20 19:11:02,03/03/2020,Personal Reasons,Resigned,2680.0,7
179,15 April 20 23:36:29,01/04/2020,Left Company,Resigned,524.0,10
180,14 April 20 16:14:50,01/03/2020,Did Not Renew - No reason Given,Resigned,2516.0,5
181,11 April 20 18:34:01,01/04/2020,Other Reason (see notes),Resigned,2306.0,11
182,10 April 20 01:06:15,31/03/2020,Other Reason (see notes),Resigned,1584.0,30
183,10 April 20 00:02:27,01/04/2020,Did Not Renew - No reason Given,Resigned,2389.0,13
184,9 April 20 23:09:06,03/03/2020,Not Right Fit with Company,Resigned,1841.0,20
185,9 April 20 19:36:37,09/04/2020,Personal Reasons,Resigned,2765.0,8
186,8 April 20 22:23:02,06/04/2020,Personal Reasons,Resigned,1765.0,8
187,7 April 20 00:08:46,12/03/2020,Not Right Fit with Company,Resigned,2477.0,24
188,4 April 20 03:10:00,26/03/2020,*Economic Distress,Resigned,728.0,25
189,3 April 20 15:26:26,01/04/2020,Did Not Renew - No reason Given,Resigned,1685.0,31
190,3 April 20 15:25:46,01/03/2020,Did Not Renew - No reason Given,Resigned,2392.0,31
191,2 April 20 23:14:08,18/03/2020,"Company related (e.g. Changed Jobs, Left Company, Lost Employee)",Resigned,2324.0,28
192,2 April 20 23:08:47,18/03/2020,"Company related (e.g. Changed Jobs, Left Company, Lost Employee)",Resigned,1580.0,28
193,26 March 20 16:28:37,01/03/2020,Other Reason (see notes),Terminated,2442.0,30
194,25 March 20 01:41:03,19/03/2020,Other Reason (see notes),Resigned,1311.0,30
195,21 March 20 22:11:20,12/03/2020,Not Enough Referrals,Resigned,1547.0,25
196,20 March 20 15:22:35,20/03/2020,Other Reason (see notes),Resigned,1335.0,30
197,17 March 20 19:39:32,01/03/2020,No Reason Entered,Resigned,2569.0,28
198,17 March 20 06:05:41,01/02/2020,,System,2152.0,13
199,17 March 20 06:05:41,01/02/2020,,System,1134.0,25
200,17 March 20 06:05:41,01/02/2020,,System,2692.0,24
201,17 March 20 06:05:41,01/02/2020,,System,2200.0,24
202,9 March 20 20:06:09,20/03/2020,Other Reason (see notes),Resigned,1335.0,30
203,9 March 20 04:29:52,08/03/2020,Changed Job,Resigned,2785.0,17
204,6 March 20 13:12:24,06/03/2020,Personal Reasons,Resigned,2127.0,11
205,4 March 20 15:35:29,01/02/2020,"Company related (e.g. Changed Jobs, Left Company, Lost Employee)",Resigned,2602.0,25
206,3 March 20 19:22:05,27/02/2020,"Company related (e.g. Changed Jobs, Left Company, Lost Employee)",Resigned,2038.0,31
207,28 February 20 18:22:07,25/02/2020,Other Reason (see notes),Resigned,2563.0,23
208,28 February 20 16:27:42,26/05/2020,"Company related (e.g. Changed Jobs, Left Company, Lost Employee)",Resigned,2756.0,31
209,25 February 20 21:37:22,05/02/2020,Did Not Renew - No reason Given,Resigned,1117.0,23
210,20 February 20 19:42:46,11/02/2020,No Reason Entered,Resigned,1559.0,5
211,20 February 20 18:47:10,14/02/2020,Member Transferred BNI Chapters,Resigned,27.0,9
212,20 February 20 18:45:41,14/02/2020,Not Right Fit with Company,Resigned,1091.0,9
213,20 February 20 00:10:23,04/02/2020,Personal Reasons,Resigned,2927.0,24
214,20 February 20 00:09:16,03/01/2020,Personal Reasons,Resigned,1404.0,24
215,20 February 20 00:07:46,16/01/2020,Other Reason (see notes),Resigned,1128.0,24
216,14 February 20 18:55:54,14/02/2020,Other Reason (see notes),Terminated,33.0,5
217,13 February 20 17:03:27,07/02/2020,Scheduling Conflicts,Resigned,377.0,22
218,10 February 20 18:05:59,01/01/2020,Member Transferred BNI Chapters,Resigned,2411.0,20
219,8 February 20 23:59:34,06/02/2020,"Company related (e.g. Changed Jobs, Left Company, Lost Employee)",Resigned,2051.0,18
220,7 February 20 03:55:59,06/02/2020,Not Enough Referrals,Resigned,99.0,8
221,6 February 20 20:50:24,06/02/2020,Did Not Renew - No reason Given,Resigned,1112.0,17
222,6 February 20 19:35:11,06/02/2020,Did Not Renew - No reason Given,Resigned,1131.0,17
223,6 February 20 19:22:04,06/02/2020,Did Not Renew - No reason Given,Resigned,2100.0,17
224,5 February 20 17:12:42,01/01/2020,Not Enough Referrals,Resigned,128.0,24
225,3 February 20 21:09:17,22/01/2020,Member Transferred BNI Chapters,Resigned,1186.0,24
226,1 February 20 16:30:47,01/02/2020,"Company related (e.g. Changed Jobs, Left Company, Lost Employee)",Resigned,1557.0,22
227,1 February 20 16:29:00,01/02/2020,Scheduling Conflicts,Resigned,1488.0,22
228,1 February 20 16:26:53,01/01/2020,Scheduling Conflicts,Resigned,2922.0,22
229,28 January 20 18:21:49,28/01/2020,Member Transferred BNI Chapters,Resigned,635.0,11
230,24 January 20 23:57:07,08/01/2020,Personal Reasons,Resigned,697.0,13
231,24 January 20 22:57:27,20/01/2020,Not Right Fit with Company,Resigned,2921.0,18
232,23 January 20 16:04:20,21/01/2020,Personal Reasons,Resigned,2476.0,30
233,21 January 20 22:47:52,14/01/2020,"Company related (e.g. Changed Jobs, Left Company, Lost Employee)",Terminated,1932.0,14
234,21 January 20 22:45:34,14/01/2020,"Company related (e.g. Changed Jobs, Left Company, Lost Employee)",Resigned,208.0,14
235,17 January 20 20:09:12,17/01/2020,Did Not Renew - No reason Given,Resigned,2631.0,30
236,17 January 20 00:03:34,16/01/2020,Affordability of Costs,Resigned,2828.0,8
237,15 January 20 07:05:42,01/12/2019,,System,2336.0,5
238,15 January 20 07:05:42,01/12/2019,,System,1009.0,20
239,15 January 20 07:05:42,01/12/2019,,System,2379.0,7
240,15 January 20 04:16:26,01/01/2020,"Company related (e.g. Changed Jobs, Left Company, Lost Employee)",Resigned,1190.0,17
241,9 January 20 22:28:10,09/01/2020,Other Reason (see notes),Terminated,456.0,9
242,9 January 20 20:18:05,08/01/2020,Not Enough Referrals,Resigned,2687.0,20
243,9 January 20 20:13:53,08/01/2020,Personal Reasons,Resigned,1974.0,20
244,9 January 20 18:09:23,02/01/2020,Changed Job,Resigned,1493.0,8
245,7 January 20 15:29:24,07/01/2020,Other Reason (see notes),Resigned,1447.0,17
246,3 January 20 19:34:24,03/01/2020,Member Transferred BNI Chapters,Resigned,2746.0,22
247,19 December 19 12:14:15,13/12/2019,Left Company,Resigned,1956.0,24
248,19 December 19 12:13:13,13/12/2019,Changed Job,Resigned,2933.0,24
249,18 December 19 19:14:02,18/12/2019,Personal Reasons,Resigned,1431.0,20
250,16 December 19 07:05:32,01/11/2019,,System,2549.0,25
251,16 December 19 07:05:32,01/11/2019,,System,69.0,25
252,16 December 19 07:05:32,01/11/2019,,System,1387.0,23
253,12 December 19 17:46:49,01/12/2019,Did Not Renew - No reason Given,Resigned,1450.0,30
254,10 December 19 18:45:26,10/12/2019,"Company related (e.g. Changed Jobs, Left Company, Lost Employee)",Resigned,2718.0,31
255,9 December 19 16:14:51,04/12/2019,Not Enough Referrals,Resigned,221.0,5
256,5 December 19 19:40:53,05/12/2019,Other Reason (see notes),Resigned,1839.0,7
257,4 December 19 21:24:08,04/12/2019,Other Reason (see notes),Resigned,85.0,16
258,4 December 19 17:26:05,27/11/2019,Other Reason (see notes),Resigned,603.0,16
259,29 November 19 17:09:42,27/11/2019,Personal Reasons,Resigned,358.0,20
260,27 November 19 16:58:09,08/11/2019,Other Reason (see notes),Resigned,2465.0,24
261,19 November 19 17:25:08,31/10/2019,No Reason Entered,Resigned,1468.0,8
262,16 November 19 23:45:59,01/11/2019,Did Not Renew - No reason Given,Resigned,2446.0,18
263,16 November 19 23:25:26,01/11/2019,Did Not Renew - No reason Given,Resigned,1448.0,9
264,15 November 19 07:08:33,01/10/2019,,System,2600.0,11
265,15 November 19 07:08:33,01/10/2019,,System,1768.0,30
266,14 November 19 23:13:32,14/11/2019,Other Reason (see notes),Resigned,1440.0,7
267,14 November 19 17:31:44,06/11/2019,Takes Too Much Time,Terminated,1127.0,16
268,14 November 19 08:32:42,14/11/2019,Not Enough Referrals,Resigned,2106.0,14
269,13 November 19 18:49:55,01/11/2019,"Company related (e.g. Changed Jobs, Left Company, Lost Employee)",Resigned,2403.0,24
270,12 November 19 20:35:09,06/11/2019,Takes Too Much Time,Resigned,1930.0,14
271,12 November 19 20:07:32,08/11/2019,Member Transferred BNI Chapters,Resigned,2778.0,22
272,12 November 19 16:18:22,01/11/2019,"Company related (e.g. Changed Jobs, Left Company, Lost Employee)",Resigned,2131.0,10
273,8 November 19 16:23:54,01/11/2019,Did Not Renew - No reason Given,Resigned,2056.0,20
274,1 November 19 16:06:13,01/11/2019,Member Transferred BNI Chapters,Resigned,965.0,20
275,1 November 19 01:39:27,24/10/2019,No Reason Entered,Resigned,2242.0,8
276,31 October 19 16:41:28,30/10/2019,Other Reason (see notes),Resigned,617.0,16
277,31 October 19 16:22:15,30/09/2019,Personal Reasons,Resigned,2573.0,30
278,30 October 19 18:30:01,30/10/2019,"Company related (e.g. Changed Jobs, Left Company, Lost Employee)",Resigned,458.0,7
279,29 October 19 15:18:44,22/10/2019,No Reason Entered,Resigned,2945.0,31
280,24 October 19 15:46:15,23/10/2019,"Company related (e.g. Changed Jobs, Left Company, Lost Employee)",Resigned,1794.0,11
281,24 October 19 15:15:45,16/10/2019,Personal Reasons,Resigned,1272.0,11
282,23 October 19 23:20:04,23/10/2019,No Reason Entered,Terminated,163.0,5
283,21 October 19 22:47:57,01/10/2019,No Reason Entered,Terminated,584.0,5
